game_id,season,game_date,home_team,away_team,venue,capacity,attendance,min_ticket_price,home_score,away_score
1,2000,2000-05-16,Los Angeles Sparks,New York Liberty,Crypto.com Arena,19000,,46.43,61,70
2,2000,2000-05-17,Golden State Valkyries,Atlanta Dream,Chase Center,18000,9451.0,64.43,66,70
3,2000,2000-05-17,Minnesota Lynx,Los Angeles Sparks,Target Center,18000,4333.0,30.27,48,93
4,2000,2000-05-20,New York Liberty,Phoenix Mercury,Barclays Center,17000,7842.0,55.68,82,74
5,2000,2000-05-21,Seattle Storm,Atlanta Dream,Climate Pledge Arena,18000,8203.0,48.72,74,77
6,2000,2000-05-22,Seattle Storm,Minnesota Lynx,Climate Pledge Arena,18000,7701.0,28.65,77,71
7,2000,2000-05-21,Minnesota Lynx,Phoenix Mercury,Target Center,18000,5454.0,53.91,69,102
8,2000,2000-05-24,Chicago Sky,Connecticut Sun,Wintrust Arena,10000,3876.0,29.15,70,76
9,2000,2000-05-25,Los Angeles Sparks,New York Liberty,Crypto.com Arena,19000,5070.0,46.53,76,90
10,2000,2000-05-26,Indiana Fever,Seattle Storm,Gainbridge Fieldhouse,20000,11120.0,48.7,59,79
11,2000,2000-05-26,Seattle Storm,Minnesota Lynx,Climate Pledge Arena,18000,7995.0,42.59,69,80
12,2000,2000-05-28,New York Liberty,Las Vegas Aces,Barclays Center,17000,8077.0,55.52,96,53
13,2000,2000-05-29,Atlanta Dream,Phoenix Mercury,Gateway Center Arena,8500,3930.0,57.23,65,81
14,2000,2000-05-31,Atlanta Dream,Phoenix Mercury,Gateway Center Arena,8500,3879.0,35.45,77,60
15,2000,2000-05-31,Los Angeles Sparks,Atlanta Dream,Crypto.com Arena,19000,3814.0,50.07,88,63
16,2000,2000-06-01,Minnesota Lynx,Golden State Valkyries,Target Center,18000,2432.0,56.81,71,71
17,2000,2000-06-02,New York Liberty,Las Vegas Aces,Barclays Center,17000,12729.0,65.08,72,68
18,2000,2000-06-03,Los Angeles Sparks,Dallas Wings,Crypto.com Arena,19000,5295.0,39.16,86,43
19,2000,2000-06-03,Phoenix Mercury,Atlanta Dream,Footprint Center,14000,5711.0,37.95,82,62
20,2000,2000-06-06,Connecticut Sun,Dallas Wings,Mohegan Sun Arena,10000,5630.0,24.47,70,75
21,2000,2000-06-07,New York Liberty,Dallas Wings,Barclays Center,17000,9117.0,53.36,68,63
22,2000,2000-06-06,Minnesota Lynx,Chicago Sky,Target Center,18000,7483.0,39.75,71,79
23,2000,2000-06-08,Indiana Fever,Phoenix Mercury,Gainbridge Fieldhouse,20000,3423.0,42.91,48,94
