game_id,season,game_date,home_team,away_team,venue,capacity,attendance,fill_rate,censored_by_capacity,min_ticket_price,home_score,away_score,home_win,month,day_of_week,is_weekend,home_rest_days,away_rest_days,rest_diff
1,2000,2000-05-16,Los Angeles Sparks,New York Liberty,Crypto.com Arena,19000.0,,,0,46.43,61.0,70.0,0.0,5,1,0,10,10,0
2,2000,2000-05-17,Golden State Valkyries,Atlanta Dream,Chase Center,18000.0,9451.0,0.5250555555555556,0,64.43,66.0,70.0,0.0,5,2,0,10,10,0
3,2000,2000-05-17,Minnesota Lynx,Los Angeles Sparks,Target Center,18000.0,4333.0,0.24072222222222223,0,30.27,48.0,93.0,0.0,5,2,0,10,1,9
4,2000,2000-05-20,New York Liberty,Phoenix Mercury,Barclays Center,17000.0,7842.0,0.4612941176470588,0,55.68,82.0,74.0,1.0,5,5,1,4,10,-6
5,2000,2000-05-21,Seattle Storm,Atlanta Dream,Climate Pledge Arena,18000.0,8203.0,0.4557222222222222,0,48.72,74.0,77.0,0.0,5,6,1,10,4,6
7,2000,2000-05-21,Minnesota Lynx,Phoenix Mercury,Target Center,18000.0,5454.0,0.303,0,53.91,69.0,102.0,0.0,5,6,1,4,1,3
6,2000,2000-05-22,Seattle Storm,Minnesota Lynx,Climate Pledge Arena,18000.0,7701.0,0.42783333333333334,0,28.65,77.0,71.0,1.0,5,0,0,1,1,0
8,2000,2000-05-24,Chicago Sky,Connecticut Sun,Wintrust Arena,10000.0,3876.0,0.3876,0,29.15,70.0,76.0,0.0,5,2,0,10,10,0
9,2000,2000-05-25,Los Angeles Sparks,New York Liberty,Crypto.com Arena,19000.0,5070.0,0.2668421052631579,0,46.53,76.0,90.0,0.0,5,3,0,8,5,3
10,2000,2000-05-26,Indiana Fever,Seattle Storm,Gainbridge Fieldhouse,20000.0,11120.0,0.556,0,48.7,59.0,79.0,0.0,5,4,0,10,4,6
11,2000,2000-05-26,Seattle Storm,Minnesota Lynx,Climate Pledge Arena,18000.0,7995.0,0.44416666666666665,0,42.59,69.0,80.0,0.0,5,4,0,0,4,-4
12,2000,2000-05-28,New York Liberty,Las Vegas Aces,Barclays Center,17000.0,8077.0,0.47511764705882353,0,55.52,96.0,53.0,1.0,5,6,1,3,10,-7
13,2000,2000-05-29,Atlanta Dream,Phoenix Mercury,Gateway Center Arena,8500.0,3930.0,0.4623529411764706,0,57.23,65.0,81.0,0.0,5,0,0,8,8,0
14,2000,2000-05-31,Atlanta Dream,Phoenix Mercury,Gateway Center Arena,8500.0,3879.0,0.4563529411764706,0,35.45,77.0,60.0,1.0,5,2,0,2,2,0
15,2000,2000-05-31,Los Angeles Sparks,Atlanta Dream,Crypto.com Arena,19000.0,3814.0,0.20073684210526316,0,50.07,88.0,63.0,1.0,5,2,0,6,0,6
16,2000,2000-06-01,Minnesota Lynx,Golden State Valkyries,Target Center,18000.0,2432.0,0.1351111111111111,0,56.81,71.0,71.0,0.0,6,3,0,6,10,-4
17,2000,2000-06-02,New York Liberty,Las Vegas Aces,Barclays Center,17000.0,12729.0,0.7487647058823529,0,65.08,72.0,68.0,1.0,6,4,0,5,5,0
18,2000,2000-06-03,Los Angeles Sparks,Dallas Wings,Crypto.com Arena,19000.0,5295.0,0.2786842105263158,0,39.16,86.0,43.0,1.0,6,5,1,3,10,-7
19,2000,2000-06-03,Phoenix Mercury,Atlanta Dream,Footprint Center,14000.0,5711.0,0.4079285714285714,0,37.95,82.0,62.0,1.0,6,5,1,3,3,0
20,2000,2000-06-06,Connecticut Sun,Dallas Wings,Mohegan Sun Arena,10000.0,5630.0,0.563,0,24.47,70.0,75.0,0.0,6,1,0,10,3,7
22,2000,2000-06-06,Minnesota Lynx,Chicago Sky,Target Center,18000.0,7483.0,0.4157222222222222,0,39.75,71.0,79.0,0.0,6,1,0,5,10,-5
21,2000,2000-06-07,New York Liberty,Dallas Wings,Barclays Center,17000.0,9117.0,0.5362941176470588,0,53.36,68.0,63.0,1.0,6,2,0,5,1,4
23,2000,2000-06-08,Indiana Fever,Phoenix Mercury,Gainbridge Fieldhouse,20000.0,3423.0,0.17115,0,42.91,48.0,94.0,0.0,6,3,0,10,5,5
25,2000,2000-06-09,Las Vegas Aces,Washington Mystics,Michelob ULTRA Arena,12000.0,7619.0,0.6349166666666667,0,60.02,52.0,71.0,0.0,6,4,0,7,10,-3
24,2000,2000-06-10,New York Liberty,Dallas Wings,Barclays Center,17000.0,4506.0,0.2650588235294118,0,37.92,69.0,56.0,1.0,6,5,1,3,3,0
26,2000,2000-06-13,Indiana Fever,Phoenix Mercury,Gainbridge Fieldhouse,20000.0,10185.0,0.50925,0,60.4,54.0,68.0,0.0,6,1,0,5,5,0
27,2000,2000-06-14,Las Vegas Aces,Los Angeles Sparks,Michelob ULTRA Arena,12000.0,4691.0,0.3909166666666667,0,42.83,70.0,79.0,0.0,6,2,0,5,10,-5
